rank,title,author,publisher
1,명탐정 코난 107 (특장판)- 티저 일러스트 아크릴 스탠드 + 일러스트 PET 스탠드 +,박스아오야마 고쇼,출판사 정보 없음
1,명탐정 코난 107,아오야마 고쇼,출판사 정보 없음
1,조국의 공부- 감옥에서 쓴 편지조국,정여울,김영사
1,혼모노Choice,성해나,창비
1,,,어센틱
1,편안함의 습격- 편리와 효율,멸균과 풍족의 시대가 우리에게서 앗아간 것들에 관하여마이클 이스터,수오서재
1,안녕이라 그랬어Choice,김애란,문학동네
1,류수영의 평생 레시피- 죽을 때까지 나를 먹여 살릴 ‘어남선생’,의 쉽고 맛있는 집밥류수영,세미콜론
1,푸른 사자 와니니 8- 갈라진 앞발들ㅣ창비아동문고 344,이현,창비
1,료의 생각 없는 생각,양장료,열림원
1,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북ㅣ클래식 뮤지컬 사운드북정가제FREE,피오나 와트,어스본코리아
1,"첫 여름, 완주ㅣ듣는 소설 1Choice",김금희,무제
1,"2025 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)- 2025 시험 대비, 72~63회 수록ㅣ큰별쌤 최태성의 별★",별한국사 한국사능력검정시험 시리즈최태성,이투스북
1,모순- 개정판Choice,양귀자,쓰다
1,궤도- 2024,부커상 수상작서맨사 하비,서해문집
1,박곰희 연금 부자 수업- 4개의 통장으로 월 300,만 원 만들기박곰희,출판사 정보 없음
1,경험의 멸종- 기술이 경험을 대체하는 시대,인간은 계속 인간일 수 있을까크리스틴 로젠,어크로스
1,"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상- 한국사능력검정시험 심화(1, 2, 3급)에 대비한 맞춤 기본서ㅣ큰별쌤 최태성의 별★",별한국사 한국사능력검정시험 시리즈최태성,이투스북
51,2026 유휘운 행정법총론 요약노트+기출문제 (요.플.)ㅣ2026,유휘운 행정법총론유휘운,출판사 정보 없음
51,클래식 뮤지컬 비발디의 협주곡 사계 사운드북ㅣ클래식 뮤지컬 사운드북정가제FREE,피오나 와트,어스본코리아
51,"있기 힘든 사람들- 돌봄, 의존 그리고 지켜져야 할 우리의 일상에 대하여Choice",도하타 가이토,다다서재
51,채사장의 지대넓얕 14 : 예술의 역사- 지적 대화를 위한 넓고 얕은 지식ㅣ생각을 넓혀 주는 어린이 교양 도서 1채사장,마케마케,돌핀북
51,마침내 특이점이 시작된다- 인류가 AI,와 결합하는 순간레이 커즈와일,비즈니스북스
51,저속노화 마인드셋- 노년내과 의사가 알려주는,내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법정희원,웨일북
51,"새로운 질서- AI 이후의 생존 전략Choice헨리 키신저,에릭 슈밋",크레이그 먼디,윌북
51,듀얼 브레인- AI 시대의 실용적 생존 가이드Choice,이선 몰릭,상상스퀘어
51,"영어순해- 영문독해의 Bible, 4th Edition",김영로,넥서스
51,먹어 보면 알지- 호랑수박의 전설Choice,이지은,웅진주니어
51,미치도록 보고 싶었던 돈의 얼굴- EBS 다큐프라임EBS 돈의 얼굴 제작진,조현영,출판사 정보 없음
51,위버멘쉬- 누구의 시선도 아닌,내 의지대로 살겠다는 선언프리드리히 니체,출판사 정보 없음
51,먼저 온 미래- AI 이후의 세계를 경험한 사람들Choice,장강명,동아시아
51,21st Anniversary down 아이실드 21 BRAIN×BRAVE,무라타 유스케,출판사 정보 없음
51,두고 온 여름ㅣ소설QChoice,성해나,창비
51,EBS FM Radio 입이 트이는 영어 2025.8정가제FREE이현석,제니퍼 클라이드,출판사 정보 없음
51,찍히지 않습니다 2- S코믹스ㅣS,코믹스코노시마 루카,출판사 정보 없음
51,청춘의 독서 (특별증보판),세상을 바꾼 위험하고 위대한 생각들유시민,웅진지식하우스
51,급류ㅣ오늘의 젊은 작가 40Choice,정대건,민음사
